epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
4,30.9937,2.06386,3e-05,1.21315,0,0,0,0,4.64166,0.14981,4.74956,0.00703,0.00703,0.00703
5,39.9066,1.90719,3e-05,1.16662,0.02577,0.0176,0.0125,0.00249,4.4357,0.0042,2.58309,0.00604,0.00604,0.00604
6,48.3629,1.87591,3e-05,1.1529,0.068,0.068,0.03964,0.00903,3.24701,0.00092,1.88775,0.00505,0.00505,0.00505
7,56.7633,1.85011,3e-05,1.13799,0.13378,0.1304,0.09788,0.02775,3.22544,0.0006,1.75783,0.00406,0.00406,0.00406
8,65.1899,1.75172,3e-05,1.10999,0.2856,0.2856,0.21814,0.07341,2.64692,5e-05,1.59079,0.00307,0.00307,0.00307
9,73.9131,1.68323,3e-05,1.08412,0.25262,0.2093,0.18048,0.06119,2.90707,5e-05,1.67692,0.00208,0.00208,0.00208
10,82.3637,1.66914,3e-05,1.07168,0.3002,0.2984,0.23401,0.07374,2.71271,4e-05,1.63326,0.00109,0.00109,0.00109
1,8.74678,3.16882,5e-05,1.81212,0,0,0,0,5.46073,0.15009,16.8283,0.0712,0.0032,0.0032
2,14.3781,2.31322,3e-05,1.33125,0,0,0,0,nan,nan,nan,0.0408565,0.0058565,0.0058565
3,22.2603,2.20692,3e-05,1.30121,0,0,0,0,3.07204,11.7006,17.772,0.0098596,0.0078596,0.0078596
4,30.7222,2.06386,3e-05,1.21315,0,0,0,0,4.64166,0.14981,4.74956,0.00703,0.00703,0.00703
5,39.547,1.90719,3e-05,1.16662,0.02577,0.0176,0.0125,0.00249,4.4357,0.0042,2.58309,0.00604,0.00604,0.00604
6,48.0175,1.87591,3e-05,1.1529,0.068,0.068,0.03964,0.00903,3.24701,0.00092,1.88775,0.00505,0.00505,0.00505
7,56.3066,1.85011,3e-05,1.13799,0.13378,0.1304,0.09788,0.02775,3.22544,0.0006,1.75783,0.00406,0.00406,0.00406
8,64.6858,1.75172,3e-05,1.10999,0.2856,0.2856,0.21814,0.07341,2.64692,5e-05,1.59079,0.00307,0.00307,0.00307
9,73.0346,1.68323,3e-05,1.08412,0.25262,0.2093,0.18048,0.06119,2.90707,5e-05,1.67692,0.00208,0.00208,0.00208
10,81.1175,1.66914,3e-05,1.07168,0.3002,0.2984,0.23401,0.07374,2.71271,4e-05,1.63326,0.00109,0.00109,0.00109
