epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,259.807,2.28124,1.6478,1.32576,0.70259,0.66693,0.62239,0.20315,2.44532,1.60854,1.48446,0.0700089,0.00333235,0.00333235
2,505.908,2.16999,1.51794,1.26199,0.68266,0.66875,0.63129,0.20164,2.4246,1.57926,1.46015,0.039349,0.00600578,0.00600578
3,745.192,2.11928,1.46391,1.23578,0.74501,0.73435,0.70133,0.24462,2.13169,1.53481,1.29082,0.00802907,0.00801921,0.00801921
4,983.012,2.07222,1.41158,1.2113,0.74327,0.73032,0.68114,0.24177,2.12067,1.51651,1.29196,0.00703,0.00703,0.00703
5,1220.97,2.03258,1.36523,1.19608,0.76431,0.75607,0.7114,0.25388,2.14613,1.47418,1.29985,0.00604,0.00604,0.00604
6,1457.81,1.99341,1.31894,1.17806,0.75512,0.74245,0.70773,0.25275,2.15462,1.47935,1.31145,0.00505,0.00505,0.00505
7,1694.78,1.94992,1.27608,1.16187,0.75684,0.74519,0.70691,0.25227,2.17183,1.46602,1.31287,0.00406,0.00406,0.00406
8,1932.1,1.91304,1.22693,1.14762,0.75048,0.74226,0.70228,0.24971,2.19819,1.46054,1.33449,0.00307,0.00307,0.00307
9,2168.07,1.87421,1.18089,1.13246,0.74592,0.73548,0.69349,0.24508,2.22368,1.45727,1.35176,0.00208,0.00208,0.00208
10,2405.22,1.83993,1.1422,1.1209,0.74496,0.73526,0.6894,0.24283,2.24951,1.44761,1.36641,0.00109,0.00109,0.00109
1,8.70117,3.15476,4.16538,1.80532,0,0,0,0,nan,nan,nan,0.0712,0.0032,0.0032
2,13.1253,2.28847,1.85404,1.34067,0,0,0,0,nan,nan,nan,0.0408565,0.0058565,0.0058565
3,20.4213,2.2149,1.56685,1.32299,0.0168,0.0168,0.01241,0.00482,2.90799,4.01081,2.275,0.0098596,0.0078596,0.0078596
4,27.2063,2.07495,1.41863,1.24381,0.74436,0.2064,0.20102,0.06078,2.95946,4.19915,1.92406,0.00703,0.00703,0.00703
5,35.5237,1.9956,1.26561,1.21989,0.388,0.388,0.29572,0.0845,2.99718,3.0025,2.01993,0.00604,0.00604,0.00604
6,43.0789,1.89429,1.22812,1.17753,0.44546,0.4168,0.36987,0.10229,2.89179,2.0668,1.91857,0.00505,0.00505,0.00505
7,50.9698,1.82252,1.09743,1.16494,0.51676,0.41829,0.36564,0.1008,3.21629,2.13241,2.02558,0.00406,0.00406,0.00406
8,58.684,1.79893,1.08411,1.15324,0.2632,0.2632,0.2047,0.04315,3.46352,2.51814,2.30473,0.00307,0.00307,0.00307
9,66.063,1.68239,0.99934,1.1006,0.54796,0.46642,0.4423,0.12052,3.03581,1.98942,1.94441,0.00208,0.00208,0.00208
10,73.4841,1.64641,0.98099,1.09418,0.5072,0.5072,0.46191,0.11864,2.9299,1.92298,1.88966,0.00109,0.00109,0.00109
1,9.02941,3.15476,4.16538,1.80532,0,0,0,0,nan,nan,nan,0.0712,0.0032,0.0032
2,13.4097,2.28847,1.85404,1.34067,0,0,0,0,nan,nan,nan,0.0408565,0.0058565,0.0058565
3,20.6116,2.2149,1.56685,1.32299,0.0168,0.0168,0.01241,0.00482,2.90799,4.01081,2.275,0.0098596,0.0078596,0.0078596
4,27.875,2.07495,1.41863,1.24381,0.74436,0.2064,0.20102,0.06078,2.95946,4.19915,1.92406,0.00703,0.00703,0.00703
5,36.1937,1.9956,1.26561,1.21989,0.388,0.388,0.29572,0.0845,2.99718,3.0025,2.01993,0.00604,0.00604,0.00604
6,44.0199,1.89429,1.22812,1.17753,0.44546,0.4168,0.36987,0.10229,2.89179,2.0668,1.91857,0.00505,0.00505,0.00505
7,52.1579,1.82252,1.09743,1.16494,0.51676,0.41829,0.36564,0.1008,3.21629,2.13241,2.02558,0.00406,0.00406,0.00406
8,59.8955,1.79893,1.08411,1.15324,0.2632,0.2632,0.2047,0.04315,3.46352,2.51814,2.30473,0.00307,0.00307,0.00307
9,67.4966,1.68239,0.99934,1.1006,0.54796,0.46642,0.4423,0.12052,3.03581,1.98942,1.94441,0.00208,0.00208,0.00208
10,75.0437,1.64641,0.98099,1.09418,0.5072,0.5072,0.46191,0.11864,2.9299,1.92298,1.88966,0.00109,0.00109,0.00109
