epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
3,747.517,2.11908,1.46229,1.23437,0.78597,0.68648,0.69683,0.25149,2.11219,1.50212,1.29156,0.00802907,0.00801921,0.00801921
4,986.647,2.06916,1.41734,1.21292,0.76794,0.67252,0.67301,0.24678,2.11434,1.52668,1.2907,0.00703,0.00703,0.00703
5,1224.55,2.03046,1.37069,1.1963,0.77378,0.72533,0.70766,0.25647,2.13022,1.49091,1.29379,0.00604,0.00604,0.00604
6,1461.98,1.98769,1.31716,1.17878,0.77014,0.70842,0.68922,0.24995,2.15392,1.48638,1.30994,0.00505,0.00505,0.00505
7,1699.06,1.95181,1.27359,1.16629,0.76043,0.71072,0.68617,0.24732,2.17938,1.47665,1.31984,0.00406,0.00406,0.00406
8,1938.33,1.91449,1.22851,1.15096,0.76302,0.72615,0.69707,0.24954,2.20361,1.46409,1.33447,0.00307,0.00307,0.00307
9,2175.46,1.87863,1.18575,1.13835,0.76095,0.72555,0.69535,0.2487,2.22415,1.45478,1.34826,0.00208,0.00208,0.00208
10,2415.37,1.84192,1.14712,1.12607,0.75509,0.7249,0.68769,0.24449,2.25027,1.45297,1.36539,0.00109,0.00109,0.00109
1,266.268,2.27909,1.64083,1.32518,0.62584,0.57445,0.52483,0.15589,2.28133,1.75939,1.35168,0.0700089,0.00333235,0.00333235
2,503.377,2.16923,1.51151,1.26179,0.70317,0.63896,0.59298,0.20182,2.2352,1.55222,1.34081,0.039349,0.00600578,0.00600578
3,737.814,2.11908,1.46229,1.23437,0.78597,0.68648,0.69683,0.25149,2.11219,1.50212,1.29156,0.00802907,0.00801921,0.00801921
4,968.825,2.06916,1.41734,1.21292,0.76794,0.67252,0.67301,0.24678,2.11434,1.52668,1.2907,0.00703,0.00703,0.00703
5,1196.6,2.03046,1.37069,1.1963,0.77378,0.72533,0.70766,0.25647,2.13022,1.49091,1.29379,0.00604,0.00604,0.00604
6,1428.23,1.98769,1.31716,1.17878,0.77014,0.70842,0.68922,0.24995,2.15392,1.48638,1.30994,0.00505,0.00505,0.00505
7,1661.3,1.95181,1.27359,1.16629,0.76043,0.71072,0.68617,0.24732,2.17938,1.47665,1.31984,0.00406,0.00406,0.00406
8,1894.98,1.91449,1.22851,1.15096,0.76302,0.72615,0.69707,0.24954,2.20361,1.46409,1.33447,0.00307,0.00307,0.00307
9,2127.69,1.87863,1.18575,1.13835,0.76095,0.72555,0.69535,0.2487,2.22415,1.45478,1.34826,0.00208,0.00208,0.00208
10,2359.41,1.84192,1.14712,1.12607,0.75509,0.7249,0.68769,0.24449,2.25027,1.45297,1.36539,0.00109,0.00109,0.00109
1,256.555,2.27909,1.64083,1.32518,0.62584,0.57445,0.52483,0.15589,2.28133,1.75939,1.35168,0.0700089,0.00333235,0.00333235
2,493.512,2.16923,1.51151,1.26179,0.70317,0.63896,0.59298,0.20182,2.2352,1.55222,1.34081,0.039349,0.00600578,0.00600578
3,727.611,2.11908,1.46229,1.23437,0.78597,0.68648,0.69683,0.25149,2.11219,1.50212,1.29156,0.00802907,0.00801921,0.00801921
4,962.019,2.06916,1.41734,1.21292,0.76794,0.67252,0.67301,0.24678,2.11434,1.52668,1.2907,0.00703,0.00703,0.00703
5,1195.29,2.03046,1.37069,1.1963,0.77378,0.72533,0.70766,0.25647,2.13022,1.49091,1.29379,0.00604,0.00604,0.00604
1,320.413,9.62955e+06,1.80311,1.41741,0,0,0,0,nan,nan,nan,0.0700089,0.00333235,0.00333235
2,641.738,9.93021e+06,2.51737,1.54886,0,0,0,0,1.00001e+07,194.91,2.21802,0.039349,0.00600578,0.00600578
1,352.889,502.629,3.58156,1.26058,0,0,0,0,502.605,3.52537,1.26877,0.0700089,0.00333235,0.00333235
2,690.659,502.52,3.52488,1.20565,0,0,0,0,502.495,3.50989,1.23205,0.039349,0.00600578,0.00600578
3,1022.3,502.472,3.51507,1.18625,0,0,0,0,502.462,3.49135,1.2209,0.00802907,0.00801921,0.00801921
4,1351.65,502.438,3.50346,1.16875,0,0,0,0,502.447,3.51727,1.22281,0.00703,0.00703,0.00703
5,1681.53,502.411,3.49404,1.1581,0,0,0,0,502.437,3.5705,1.2193,0.00604,0.00604,0.00604
6,2013.15,502.392,3.47965,1.14666,0,0,0,0,502.435,3.55776,1.21627,0.00505,0.00505,0.00505
7,2343.54,502.391,3.46885,1.13383,0,0,0,0,502.442,3.53414,1.2211,0.00406,0.00406,0.00406
8,2673.58,502.352,3.46142,1.1226,0,0,0,0,502.442,3.54583,1.22193,0.00307,0.00307,0.00307
9,3003.47,502.303,3.45654,1.10796,0,0,0,0,502.45,3.55037,1.22837,0.00208,0.00208,0.00208
10,3335.06,502.27,3.4527,1.09849,0,0,0,0,502.458,3.54791,1.23224,0.00109,0.00109,0.00109
